Query	Website	Product Name	Link	Price	Description
blue sofa	https://www.bedbathandbeyond.com/	Hollywood Velvet Sofa	https://www.bedbathandbeyond.com/Home-Garden/Hollywood-Velvet-Sofa/32013347/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&searchidx=32	658.32	Add a touch of glamour to your living space with the Hollywood Velvet Sofa. Featuring soft velvet upholstery and elegant button tufting, this sofa is perfect for creating a chic and stylish ambience. The sofa's wooden frame is accented with hand-applied nailhead detailing, while turned wood feet and rolled arms complete the look. This sofa comes with two matching throw pillows and cushions that are 22 inches deep with removable covers. Assembly is easy and tool-free.
blue sofa	https://www.bedbathandbeyond.com/	104" Convertible Modular Sectional Sofa, Minimalist Mid-Century Velvet Sofas Couches - Single	https://www.bedbathandbeyond.com/Home-Garden/104-Convertible-Modular-Sectional-Sofa-Minimalist-Mid-Century-Velvet-Sofas-Couches/39219644/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=78886332&searchidx=34	249.74	Details:
blue sofa	https://www.bedbathandbeyond.com/	Leather Loveseat Nailhead Rolled Arms Lounge Loveseat with Hidden Storage Sofa for Living Room Settee Couch, Navy Blue	https://www.bedbathandbeyond.com/Home-Garden/Leather-Sleeper-Loveseat-Nailhead-Rolled-Arms-Lounge-Loveseat-with-Hidden-Storage-Sofa-for-Living-Room-Settee-Couch-Navy-Blue/39910183/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=81551351&searchidx=36	563.84	Product Details:
blue sofa	https://www.bedbathandbeyond.com/	Roundhill Furniture Camero Fabric Pillowback 4-Piece Sofa Set in Navy Blue	https://www.bedbathandbeyond.com/Home-Garden/Camero-Fabric-Pillowback-4-Piece-Sofa-Set-in-Navy-Blue/30689111/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&searchidx=43	1967.84	Create a casual chic living room with this Camero Fabric 4-Piece Living Room Set. Its rich navy blue upholstery is accented with welted trim. Slightly rolled arms, a pillow style cushioned back, and patterned accent pillows make this sofa set complete. High-density seat cushions top sinuous springs and a hardwood frame for a perfectly comfortable sofa that seats up to 5 people in style.
blue sofa	https://www.bedbathandbeyond.com/	Onofre Fabric Living Room Sofa - Blue	https://www.bedbathandbeyond.com/Home-Garden/Onofre-Living-Room-Sofa/32474388/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=72299178&searchidx=46	653.64	|| Fremont & Park - Onofre Collection ||
blue sofa	https://www.bedbathandbeyond.com/	66.25'' Velvet Sofa - 66.25'' W X 34'' D	https://www.bedbathandbeyond.com/Home-Garden/66.25-Velvet-Sofa-66.25-W-X-34-D/40206805/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=82328020&searchidx=49	513.49	It's a multifunctional sofa bed, just put the backrest of the sofa down and pull out the front part, and it can be turned into a bed.   With high-quality foam and spring support, velvet fabric as well, the sofa is comfortable, not too soft or too hard which is perfect to sit as well as sleep on it.
blue sofa	https://www.bedbathandbeyond.com/	Modern Loveseat Sofa Couches for Living Room - Navy Blue	https://www.bedbathandbeyond.com/Home-Garden/Modern-Loveseat-Sofa-Couches-for-Living-Room/40191302/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=82291377&searchidx=51	253.79	Loveseat wrapped in elegant natural linen cloth, which is eco-friendly and Skin-friendly, also has good moisture absorption and thermal conductivity and air permeability. Loveseat cushions are filled with high density sponge, which is soft and elastic, giving you a enjoyable rest experience, like falling into cotton, lying in the clouds. This sofa adopts modern design style, Straight armrest & Boxed edge cushion & Soft backrest & Wooden legs, make the sofa have an elegant and beautiful appearance, classic but not inflexible, beautiful but not garish. Naturally integrated into various decoration styles, very suitable for your living room, bedroom, office, apartment, studio.
blue sofa	https://www.bedbathandbeyond.com/	Morden Fort Modern Furniture Set Loveseat and Sofa Set Velvet - Blue	https://www.bedbathandbeyond.com/Home-Garden/Morden-Fort-Modern-Contemporary-Loveseat-and-Sofa-Set-with-Deep-Button-Tufting-Dutch-Velvet-Solid-Wood-Frame-and-Iron-Legs/33887241/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=63599777&searchidx=54	934.14	Experience comfort and luxury with the Morden Fort Modern Contemporary Loveseat and Sofa Set. Inspired by 1930's Britain, this furniture set combines regal elegance with modern design. The soft and plush Dutch velvet upholstery creates a rich feel, while the high resilience foam and polyester fiber wadding provide exceptional coziness and longevity. The solid wood frame and iron legs ensure sturdy and durable construction, while the modern transitional design allows for versatile use in any interior décor. Relax in style with Morden Fort.
blue sofa	https://www.bedbathandbeyond.com/	Avlona Tufted Velvet Sofa - Blue	https://www.bedbathandbeyond.com/Home-Garden/Avlona-Living-Room-Sofa/32832451/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=60906782&searchidx=58	495.99	Introducing the Avlona Tufted Velvet Sofa - a charming addition to your living space. The walnut-finished wooden frame complements the flared arms and tufted detailing, while the three velvet fabric color options make it easy to match your existing decor. The transitional style and removable cushions make for a comfortable and stylish seating experience.
blue sofa	https://www.bedbathandbeyond.com/	US Pride Mac Velvet Sofa	https://www.bedbathandbeyond.com/Home-Garden/US-Pride-Mac-Velvet-Sofa/33980931/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&searchidx=62	490.04	Bring Mid-century modern style into your home with the US Pride Mac Velvet Sofa. With a classic design and distinctive look, this wood-framed sofa is sure to elevate your well-curated collection. The button-tufted details add a refined touch to any space while the streamlined silhouette and square arms fuse together to create a modern appearance. The velvet upholstery material adds an extra layer of luxury to this stunning sofa. Assembly is required.
blue sofa	https://www.bedbathandbeyond.com/	Roundhill Furniture Camero Fabric Pillowback Sofa and Loveseat Set in Navy Blue	https://www.bedbathandbeyond.com/Home-Garden/Camero-Fabric-Pillowback-Sofa-and-Loveseat-Set-in-Navy-Blue/30689108/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&searchidx=68	1423.79	Create a casual chic living room with this Camero Fabric Sofa and Loveseat Set. Its rich navy blue upholstery is accented with welted trim. Slightly rolled arms, a pillow style cushioned back, and patterned accent pillows make this sofa set complete. High-density seat cushions top sinuous springs and a hardwood frame for a perfectly comfortable sofa that seats up to 5 people in style.
blue sofa	https://www.bedbathandbeyond.com/	Roundhill Furniture Camero Fabric Pillowback 3-Piece Sofa Set in Navy Blue	https://www.bedbathandbeyond.com/Home-Garden/Camero-Fabric-Pillowback-3-Piece-Sofa-Set-in-Navy-Blue/30689110/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&searchidx=69	1472.39	Create a casual chic living room with this Camero Fabric 3-Piece Living Room Set. Its rich navy blue upholstery is accented with welted trim. Slightly rolled arms, a pillow style cushioned back, and patterned accent pillows make this sofa set complete. High-density seat cushions top sinuous springs and a hardwood frame for a perfectly comfortable sofa that seats up to 4 people in style.
blue sofa	https://www.bedbathandbeyond.com/	Polyester U-Shaped 4-Seat Sectional Sofa with Ottomans, Light Blue	https://www.bedbathandbeyond.com/Home-Garden/Polyester-U-Shaped-4-Seat-Sectional-Sofa-with-Ottomans-Light-Blue/39978896/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=81740678&searchidx=76	1029.14	Product Dimensions
blue sofa	https://www.mybobs.com/	Faith Blue 92'' Sofa	https://www.mybobs.com/outlet/living-room-outlet/p/20086526	399.01	As fresh as an island breeze, my Faith sofa will have you dreaming of the beach with beautifully patterned accent pillows and the deep true blue hue. Removable back seat cushions and transitional track arms too? This can't get any better!
blue sofa	https://www.mybobs.com/	Pete Blue 82'' Sofa	https://www.mybobs.com/outlet/living-room-outlet/p/20086524	399.01	You've never known a sofa as comfy as my Pete. Soft-to-the-touch polyester fabric and included accent pillows make for the most alluring siesta station or late-night binge watching session.
blue sofa	https://www.mybobs.com/	Lola Spa Blue 89'' Sofa	https://www.mybobs.com/furniture/living-room/sofas-couches/p/20082903009	599.0	Let your creative juices flow with my contemporary sofa! It’s got four funky scribble-print pillows and those clean geometric lines to add a bit of artsy flair. And it doesn’t just look cool—My Bob-O-Pedic Memory Foam gives you so much comfort!
blue sofa	https://www.mybobs.com/	Bettie Teal 86'' Sofa	https://www.mybobs.com/furniture/living-room/sofas-couches/p/20070239010	499.0	My Bettie Sofa is a mid-century modern beauty! Made of 100% polyester, this contemporary sofa sports four trendy accent pillows, understated track arms and slender, slightly flared wooden legs. Add in a comfy layer of my famous Bob-O-Pedic Memory Foam and a tufted seat back and you're ready to sit in comfort - and style, of course!
blue sofa	https://www.mybobs.com/	Hollywood Teal 96'' Sofa	https://www.mybobs.com/furniture/living-room/sofas-couches/p/20075546012	799.0	My Hollywood sofa has a famous feel without the heavy price tag! Impress yourself and your guests with the tasteful accent pillows, roll arm and traditional elements. The stylish tufted fabric and Bob-O-Pedic Memory Foam cushions provide all the trendy comfort you want.
blue sofa	https://www.mybobs.com/	Throwback Convertible Sofa	https://www.mybobs.com/outlet/living-room-outlet/p/20077572	399.01	My Playback Sofa is the perfect piece to complete your small space living. You'll love the soft polyester fabric and stylish track arm. Plus, the bottom pulls up to make a comfy sofa bed for extra seating or hosting your friends and family. Did I mention the added features like cupholders for your favorite beverages and USB Ports to keep your devices charged! My Playback is the right play for your home!
blue sofa	https://www.mybobs.com/	Storm Aqua Leather 85'' Power Sofa	https://www.mybobs.com/furniture/living-room/reclining-furniture/p/20077547006	999.0	Comfort meets style with my Storm Leather Power Sofa. The cushions are made up of Bob-O-Pedic Memory Foam seating to provide you with the utmost comfort while you sit! Plus, you can easily recline at the touch of a button while you charge your devices with the convenient USB port. Now that's what I call luxury...and convenience.
blue sofa	https://www.mybobs.com/	Storm Aqua Leather 85'' Manual Gliding Sofa	https://www.mybobs.com/furniture/living-room/reclining-furniture/p/20077547005	799.0	Comfort meets style with my Storm Leather Manual Gliding Sofa. The cushions are made up of Bob-O-Pedic Memory Foam seating to provide you with the utmost comfort while you sit! Plus, the manual recline feature makes it easy for you to sit back and relax after a long day. Now that's what I call luxury...and convenience.
blue sofa	https://www.mybobs.com/	Faith Blue Loveseat	https://www.mybobs.com/outlet/living-room-outlet/p/20086527	399.01	As fresh as an island breeze, my Faith loveseat will have you dreaming of the beach with beautifully patterned accent pillows and the deep true blue hue. Removable back seat cushions and transitional track arms too? This can't get any better!
